Class,Glycine,Lactic acid,Pyruvic acid,Valine,Leucine1,Glycerol,Isoleucine,Leucine2,Malonic acid,Glycine2,Phosphate,Threonine1,Alanine,Threonine2,Succinic acid,Benzoic acid,Threitol,Malic acid,hydroxyproline1,Aspartic acid1,aminobutyric acid,Aspartic acid2,hydroxyproline2,Xylitol,Hydroxyglutaric acid,ethyl ester,Methionine,Creatinine,Putrescine,Hypotaurine,Glutamic acid,KA/AKA/T,Fructose,T/S/F1,S/A/M/G/G,T/S/F2,Glycerol3phoshate,A/M/G/G1,A/M/G/G2,A/M/G/G3,Citric acid,Acetylaspartic acid,Glucose,Scyllo-inositol,Lysine,S-I/M-I/I,Pantothenic acid,Tyramin/Tyrosine,Hexadecanoic acid,OA/SA/NA,Myo-Inositol-1-phosphate,a-l/l/M/c
N,0.943457037,1.97976059,0.046401064,NaN,0.095995098,0.077683113,0.138866454,0.015677573,0.525855902,NaN,4.252864497,0.041978555,0.060788164,NaN,0.014095162,0.01336926,0.031749257,0.015727749,0.047513849,0.019844273,0.008274137,NaN,0.102865232,0.009622073,0.00557856,0.023219368,NaN,NaN,0.124539445,0.021452111,0.70599349,0.003483112,0.005880976,0.196771524,0.033442895,0.073514551,0.020303969,0.017334381,0.004253334,0.003106368,0.101778336,0.006636318,0.004722148,NaN,0.001685886,0.726981385,0.000660067,0.013233649,0.026441558,0.113667214,0.00148947,0.002948692
N,0.906082621,1.366365516,0.019413459,NaN,0.063303232,0.031562339,0.077926061,0.003992823,0.485933456,0.122997873,4.124722174,0.029957253,0.027690339,0.001203886,0.010721155,0.006879656,0.020395679,0.024619072,0.059462407,0.013623115,0.007027405,NaN,0.068611446,0.005925832,0.004813127,0.023253074,NaN,0.002182085,0.128210028,0.019482576,0.495736087,0.002340321,0.007381284,0.110021225,0.018169296,0.040260845,0.025335138,0.057901894,0.012810049,0.011829579,0.05744465,0.006461959,0.01360141,NaN,NaN,0.681580278,0.002069271,0.004532032,0.024706617,0.115965033,0.001379015,0.000580588
N,0.906058977,1.317908823,0.019990115,NaN,0.05773243,0.02803862,0.066484159,0.001781496,0.493257271,0.106153162,3.133341148,0.023343237,0.035026653,0.000540785,0.01049448,0.007730275,0.017263848,0.022131412,0.050981223,0.01060585,0.004985762,NaN,0.04345861,0.006041054,0.003777721,0.023366278,0.003259407,NaN,0.098945182,0.012934058,0.468443616,0.003274676,0.005873552,0.100872074,0.016152528,0.035809462,0.020153461,0.033253057,0.008601111,0.006533585,0.038737117,0.004424977,0.009922126,NaN,NaN,0.532249125,0.001172964,0.001020473,0.02515645,0.120948437,NaN,0.000959317
N,0.921507053,1.742384726,0.037532319,NaN,0.073864697,0.0398432,0.093622764,0.004161943,0.506092391,0.108996317,3.803711333,0.034057062,0.040360316,0.000860142,0.013889746,0.008856479,0.029889108,0.018704954,0.049526028,0.016423453,0.007783349,NaN,0.066423934,0.007829235,0.005841663,0.022856561,NaN,NaN,0.126696256,0.018302811,0.56742801,0.004385068,0.007237519,0.196090348,0.028903262,0.071239123,0.016797677,0.118520838,0.01472392,0.023553532,0.061609196,0.005785062,0.013128562,0.004531574,NaN,0.622240928,0.001139492,0.003699584,0.022455643,0.107401782,0.000762141,0.001616593
N,0.946486595,1.772267712,0.032213337,NaN,0.082850729,0.033954306,0.111247155,0.004203051,0.523515262,0.115171112,3.783059585,0.038473604,0.05178226,NaN,0.010980675,0.010476832,0.025571955,0.021210913,0.054584302,0.018263657,0.006882965,NaN,0.067144973,0.006156791,0.00433464,0.022508228,NaN,0.00223766,NaN,0.016482228,0.594016534,0.003082235,0.006227486,0.12961127,0.021889713,0.045320471,0.018537184,0.055864776,0.012008924,0.009710336,0.062684013,0.005387553,0.015269349,0.004620263,NaN,0.627784365,0.002901705,0.00337098,0.022756184,0.128831845,0.001257169,NaN
N,0.9099152,1.486264317,0.029888382,NaN,0.053421794,0.032458263,0.070832204,0.005895775,0.488428844,0.117837688,3.740989072,0.026337555,0.021598009,NaN,0.012494912,0.007387883,0.022792549,0.022915578,0.050059009,0.015352216,0.00676572,NaN,0.063838456,0.00762993,0.005879097,0.022203054,NaN,0.00291614,0.141900012,0.018378429,0.60778779,0.00489907,0.007116392,0.140330091,0.021344801,0.051132061,0.019503151,0.065822873,0.00861236,0.012196783,0.056547947,0.006084193,0.00787382,0.004676794,NaN,0.596096848,0.001212315,0.003997337,0.020662066,0.102676551,0.000429211,NaN
N,0.897460837,1.700097504,0.036595271,NaN,0.068307252,0.04415176,0.105336381,0.01243837,0.507355706,0.122301021,4.628598593,0.038790193,0.030563849,0.004283567,0.016062666,0.010579971,0.031864907,0.026713366,0.051099895,0.020974982,0.010021423,0.004269387,0.090032972,0.008303906,0.006369872,0.022087647,NaN,0.004982089,0.188041166,0.025179451,0.749504453,0.005563644,0.009705254,0.207775629,0.032585588,0.076277603,0.021891452,0.126704323,0.035470535,0.025205089,0.081658108,0.00689591,0.045179284,0.007215294,0.004821932,0.738166876,0.001375958,0.009464175,0.023003039,0.111377306,0.000996455,0.00150465
N,0.900255971,1.786403068,0.03558124,0.002219119,0.067851818,0.048237473,0.093589031,0.01285002,0.502506874,0.115633764,4.101889373,0.031931969,0.022805081,0.004237165,0.016598929,0.012707531,0.035502753,0.027946581,0.048429667,0.023452095,0.009768472,0.00413568,0.080782443,0.00832221,0.007258639,0.023803911,0.008626495,0.004806521,NaN,0.025053401,0.755863692,0.005297897,0.008845443,0.22281808,0.037512126,0.079504621,0.018215823,0.118322845,0.03046086,0.023074418,0.069692333,0.006610599,0.036234731,NaN,0.005225064,0.701007074,0.001407864,0.010419172,0.022433247,0.106684367,NaN,0.001570572
N,0.906091077,1.439470036,0.022469267,0.000952531,0.067895658,0.047860328,0.087029849,0.004068725,0.545055812,0.117455277,3.515407823,0.027083601,0.018469007,0.001424518,0.012643697,0.009299308,0.022580886,0.022855756,0.049183192,0.01516141,0.006663186,NaN,0.067160997,NaN,NaN,0.029480415,0.005091119,0.002313273,0.141468006,0.019196929,0.495073669,0.003541678,0.006729325,0.114450153,0.018440427,0.040253489,0.018626283,0.057809583,0.015858342,0.011347018,0.055275642,0.006489105,0.017775174,0.004711892,NaN,0.607688343,0.00120179,0.004066805,0.025298324,0.111970176,NaN,0.000965045
N,0.847380546,1.881088342,0.037512472,NaN,0.047090275,0.059884753,0.04957103,0.02334173,0.315067345,0.113154755,4.10867104,0.016169245,0.026787521,0.003592504,0.011602215,0.004111305,NaN,0.008758823,0.025726861,0.007750644,NaN,NaN,0.033543816,0.00513744,NaN,0.011942948,NaN,NaN,0.058302587,0.009829985,0.304323096,0.000830511,NaN,0.078208752,0.011784756,0.029177864,0.005784139,0.00358424,0.000925352,NaN,0.039856794,NaN,NaN,NaN,NaN,0.198887004,NaN,NaN,0.005535267,0.02475705,NaN,NaN
